10            0             
10.0926       0             
10.1861       0             
10.2804       0             
10.3757       0             
10.4718       0             
10.5688       0             
10.6666       0             
10.7654       0             
10.8652       0             
10.9658       0             
11.0674       0             
11.1699       0             
11.2733       0             
11.3777       0             
11.4831       0             
11.5895       0             
11.6968       0             
11.8052       0             
11.9145       0             
12.0249       0             
12.1362       0             
12.2486       0             
12.3621       0             
12.4766       0             
12.5922       0             
12.7088       0             
12.8265       0             
12.9453       0             
13.0652       0             
13.1862       0             
13.3083       0             
13.4316       3.02243e-28   
13.556        3.54043e-27   
13.6816       6.53886e-27   
13.8083       8.25301e-27   
13.9362       1.01129e-26   
14.0653       1.28937e-26   
14.1955       1.59528e-26   
14.327        2.00844e-26   
14.4597       3.07363e-26   
14.5937       6.41464e-26   
14.7288       9.48986e-26   
14.8652       1.18504e-25   
15.0029       1.45664e-25   
15.1419       1.80503e-25   
15.2821       2.20812e-25   
15.4237       2.73589e-25   
15.5665       3.35182e-25   
15.7107       4.14739e-25   
15.8562       5.08022e-25   
16.0031       6.22981e-25   
16.1513       7.71747e-25   
16.3009       9.68716e-25   
16.4519       1.19041e-24   
16.6043       1.44743e-24   
16.7581       1.75698e-24   
16.9133       2.13312e-24   
17.0699       2.58644e-24   
17.2281       3.11533e-24   
17.3876       3.75907e-24   
17.5487       4.49989e-24   
17.7112       5.42001e-24   
17.8753       6.48477e-24   
18.0408       7.79465e-24   
18.2079       9.26916e-24   
18.3766       1.10904e-23   
18.5468       1.31244e-23   
18.7186       1.56743e-23   
18.8919       1.85401e-23   
19.0669       2.24984e-23   
19.2435       2.70491e-23   
19.4217       3.222e-23     
19.6016       3.77258e-23   
19.7832       4.46514e-23   
19.9664       5.2313e-23    
20.1514       6.17068e-23   
20.338        7.20151e-23   
20.5264       8.48453e-23   
20.7165       9.90536e-23   
20.9084       1.16329e-22   
21.102        1.35317e-22   
21.2975       1.58285e-22   
21.4947       1.83541e-22   
21.6938       2.14516e-22   
21.8948       2.48771e-22   
22.0976       2.89769e-22   
22.3022       3.34836e-22   
22.5088       3.88619e-22   
22.7173       4.47639e-22   
22.9277       5.17752e-22   
23.1401       5.96645e-22   
23.3544       6.9834e-22    
23.5707       8.09841e-22   
23.789        9.34192e-22   
24.0093       1.06934e-21   
24.2317       1.2279e-21    
24.4562       1.40162e-21   
24.6827       1.60435e-21   
24.9113       1.82633e-21   
25.142        2.0852e-21    
25.3749       2.36982e-21   
25.6099       2.70457e-21   
25.8471       3.07238e-21   
26.0865       3.49798e-21   
26.3282       3.96426e-21   
26.572        4.50097e-21   
26.8181       5.08869e-21   
27.0665       5.76323e-21   
27.3172       6.50131e-21   
27.5702       7.3456e-21    
27.8256       8.26794e-21   
28.0833       9.31857e-21   
28.3434       1.04685e-20   
28.606        1.17799e-20   
28.8709       1.32093e-20   
29.1383       1.48248e-20   
29.4082       1.67003e-20   
29.6806       1.89676e-20   
29.9555       2.13349e-20   
30.2329       2.38249e-20   
30.513        2.65718e-20   
30.7956       2.96198e-20   
31.0808       3.30133e-20   
31.3687       3.67884e-20   
31.6592       4.09463e-20   
31.9525       4.54612e-20   
32.2484       5.04816e-20   
32.5471       5.5943e-20    
32.8486       6.20331e-20   
33.1528       6.86339e-20   
33.4599       7.60031e-20   
33.7698       8.39488e-20   
34.0826       9.28372e-20   
34.3983       1.02372e-19   
34.7169       1.13076e-19   
35.0384       1.24503e-19   
35.363        1.37346e-19   
35.6905       1.50962e-19   
36.0211       1.66183e-19   
36.3547       1.82179e-19   
36.6914       2.00215e-19   
37.0313       2.19231e-19   
37.3743       2.42098e-19   
37.7204       2.66393e-19   
38.0698       2.92424e-19   
38.4224       3.19245e-19   
38.7783       3.49609e-19   
39.1375       3.81125e-19   
39.5          4.16475e-19   
39.8658       4.52932e-19   
40.2351       4.94427e-19   
40.6077       5.37147e-19   
40.9838       5.85162e-19   
41.3634       6.34381e-19   
41.7466       6.90392e-19   
42.1332       7.47765e-19   
42.5235       8.13022e-19   
42.9173       8.79676e-19   
43.3148       9.55384e-19   
43.716        1.03274e-18   
44.1209       1.1198e-18    
44.5296       1.20885e-18   
44.942        1.30744e-18   
45.3583       1.4088e-18    
45.7784       1.52269e-18   
46.2024       1.64033e-18   
46.6303       1.77227e-18   
47.0622       1.90786e-18   
47.4981       2.05366e-18   
47.9381       2.20532e-18   
48.3821       2.37425e-18   
48.8302       2.54965e-18   
49.2825       2.74022e-18   
49.739        2.93844e-18   
50.1997       3.15208e-18   
50.6646       3.37513e-18   
51.1339       3.61532e-18   
51.6075       3.86733e-18   
52.0855       4.13938e-18   
52.5679       4.42444e-18   
53.0548       4.72875e-18   
53.5462       5.04798e-18   
54.0422       5.38705e-18   
54.5427       5.74505e-18   
55.0479       6.12623e-18   
55.5578       6.5261e-18    
56.0723       6.94584e-18   
56.5917       7.39077e-18   
57.1159       7.86099e-18   
57.6449       8.39717e-18   
58.1788       8.9916e-18    
58.7177       9.57708e-18   
59.2615       1.0157e-17    
59.8104       1.07719e-17   
60.3644       1.14123e-17   
60.9235       1.20927e-17   
61.4878       1.27993e-17   
62.0573       1.35442e-17   
62.6321       1.43122e-17   
63.2122       1.51305e-17   
63.7977       1.59757e-17   
64.3886       1.68767e-17   
64.985        1.78051e-17   
65.5869       1.878e-17     
66.1943       1.97794e-17   
66.8074       2.08483e-17   
67.4262       2.1951e-17    
68.0507       2.31097e-17   
68.681        2.4299e-17    
69.3172       2.55543e-17   
69.9592       2.68442e-17   
70.6072       2.81959e-17   
71.2612       2.95704e-17   
71.9212       3.09251e-17   
